File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A2_061__1_km_16_days_NDVI_doy2019353000000_aid0001,_1_km_16_days_NDVI,aid0001,2019-12-19,8125.0,-0.1024,0.7998,"(-0.1024,0.7998)",0.5634744,0.1410076,0.0198831,0.6641,0.7998,0.6029,0.2394,0.4941
MOD13A2_061__1_km_16_days_NDVI_doy2020001000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-01-01,8089.0,-0.0539,0.818,"(-0.0539,0.818)",0.4302581,0.1245138,0.0155037,0.5247,0.7788,0.4503,0.0998,0.3539
MOD13A2_061__1_km_16_days_NDVI_doy2020017000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-01-17,8104.0,-0.156,0.8077,"(-0.156,0.8077)",0.4105352,0.1547209,0.0239386,0.530125,0.8077,0.3941,-0.0512,0.2943
MOD13A2_061__1_km_16_days_NDVI_doy2020033000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-02-02,8076.0,-0.0824,0.7823,"(-0.0824,0.7823)",0.3970409,0.12441,0.0154779,0.4862,0.7218,0.4101,0.0777,0.3221
MOD13A2_061__1_km_16_days_NDVI_doy2020049000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-02-18,8089.0,-0.11,0.8213,"(-0.11,0.8213)",0.3729015,0.1877306,0.0352428,0.5013,0.8213,0.3623,-0.11,0.233
MOD13A2_061__1_km_16_days_NDVI_doy2020065000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-03-05,8147.0,-0.1791,0.9116,"(-0.1791,0.9116)",0.3177017,0.1739643,0.0302636,0.4423,0.8286,0.2993,-0.1791,0.18195
MOD13A2_061__1_km_16_days_NDVI_doy2020081000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-03-21,8038.0,-0.1317,0.8442,"(-0.1317,0.8442)",0.5889831,0.1436636,0.0206392,0.687875,0.8442,0.6328,0.2987,0.5322
MOD13A2_061__1_km_16_days_NDVI_doy2020097000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-04-06,8078.0,-0.1463,0.9449,"(-0.1463,0.9449)",0.4993733,0.1906554,0.0363495,0.6521,0.9449,0.52315,-0.0726,0.3608
MOD13A2_061__1_km_16_days_NDVI_doy2020113000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-04-22,8054.0,-0.0934,0.9006,"(-0.0934,0.9006)",0.5889711,0.2159282,0.046625,0.7606,0.9006,0.66715,-0.0118,0.44775
MOD13A2_061__1_km_16_days_NDVI_doy2020129000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-05-08,8116.0,-0.1369,0.9219,"(-0.1369,0.9219)",0.58497,0.2148274,0.0461508,0.754825,0.9219,0.64945,-0.0037,0.450875
MOD13A2_061__1_km_16_days_NDVI_doy2020145000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-05-24,8136.0,-0.173,0.957,"(-0.173,0.957)",0.4745789,0.2576686,0.0663931,0.719125,0.957,0.4928,-0.173,0.2445
MOD13A2_061__1_km_16_days_NDVI_doy2020161000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-06-09,8128.0,-0.153,0.9484,"(-0.153,0.9484)",0.2616643,0.2151815,0.0463031,0.385025,0.8357,0.2022,-0.153,0.0841
MOD13A2_061__1_km_16_days_NDVI_doy2020177000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-06-25,8108.0,-0.1384,0.9389,"(-0.1384,0.9389)",0.40842,0.261052,0.0681482,0.652175,0.9389,0.376,-0.1384,0.169375
MOD13A2_061__1_km_16_days_NDVI_doy2020193000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-07-11,8091.0,-0.1314,0.9649,"(-0.1314,0.9649)",0.3203287,0.242877,0.0589892,0.48285,0.9649,0.2516,-0.1314,0.1167
MOD13A2_061__1_km_16_days_NDVI_doy2020209000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-07-27,8100.0,-0.1977,0.9253,"(-0.1977,0.9253)",0.4469779,0.2626334,0.0689763,0.6874,0.9253,0.4821,-0.1977,0.2019
MOD13A2_061__1_km_16_days_NDVI_doy2020225000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-08-12,8154.0,-0.1367,0.9098,"(-0.1367,0.9098)",0.4552407,0.2274931,0.0517531,0.665,0.9098,0.47255,-0.1367,0.254225
MOD13A2_061__1_km_16_days_NDVI_doy2020241000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-08-28,8110.0,-0.1224,0.9573,"(-0.1224,0.9573)",0.2867925,0.2491173,0.0620594,0.4554,0.9573,0.18655,-0.1224,0.085
MOD13A2_061__1_km_16_days_NDVI_doy2020257000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-09-13,8089.0,-0.153,0.9614,"(-0.153,0.9614)",0.2336766,0.2468003,0.0609104,0.3788,0.8758,0.1108,-0.153,0.0451
MOD13A2_061__1_km_16_days_NDVI_doy2020273000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-09-29,8101.0,-0.1411,0.9479,"(-0.1411,0.9479)",0.3583675,0.2638907,0.0696383,0.5734,0.9479,0.3065,-0.1411,0.1165
MOD13A2_061__1_km_16_days_NDVI_doy2020289000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-10-15,8156.0,-0.1693,0.9002,"(-0.1693,0.9002)",0.4589821,0.2785483,0.0775891,0.73385,0.9002,0.491,-0.1693,0.1859
MOD13A2_061__1_km_16_days_NDVI_doy2020305000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-10-31,8112.0,-0.1843,0.9905,"(-0.1843,0.9905)",0.402163,0.2464991,0.0607618,0.6219,0.9905,0.38395,-0.1843,0.179375
MOD13A2_061__1_km_16_days_NDVI_doy2020321000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-11-16,8088.0,-0.1942,0.9417,"(-0.1942,0.9417)",0.453012,0.2588247,0.0669902,0.701425,0.9417,0.4699,-0.1942,0.214475
MOD13A2_061__1_km_16_days_NDVI_doy2020337000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-12-02,8116.0,-0.167,0.9561,"(-0.167,0.9561)",0.5004904,0.208135,0.0433202,0.6654,0.9561,0.56565,-0.1113,0.353475
MOD13A2_061__1_km_16_days_NDVI_doy2020353000000_aid0001,_1_km_16_days_NDVI,aid0001,2020-12-18,8109.0,-0.1288,0.8614,"(-0.1288,0.8614)",0.4463247,0.1576357,0.024849,0.548,0.8295,0.481,0.0756,0.359
MOD13A2_061__1_km_16_days_NDVI_doy2021001000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-01-01,8117.0,-0.1186,0.9965,"(-0.1186,0.9965)",0.4131362,0.1741688,0.0303348,0.5443,0.9132,0.4326,-0.0766,0.2948
MOD13A2_061__1_km_16_days_NDVI_doy2021017000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-01-17,8102.0,-0.0807,0.6822,"(-0.0807,0.6822)",0.3660669,0.1127233,0.0127065,0.4435,0.657,0.38015,0.0769,0.2968
MOD13A2_061__1_km_16_days_NDVI_doy2021033000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-02-02,8128.0,-0.1235,0.9146,"(-0.1235,0.9146)",0.3388064,0.1708795,0.0291998,0.468925,0.8728,0.347,-0.1235,0.194
MOD13A2_061__1_km_16_days_NDVI_doy2021049000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-02-18,8068.0,-0.0695,0.764,"(-0.0695,0.764)",0.2866444,0.1147765,0.0131736,0.3446,0.5361,0.2786,0.0253,0.2168
MOD13A2_061__1_km_16_days_NDVI_doy2021065000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-03-06,8080.0,-0.1262,0.9346,"(-0.1262,0.9346)",0.3439113,0.2012553,0.0405037,0.514025,0.9346,0.32085,-0.1262,0.1703
MOD13A2_061__1_km_16_days_NDVI_doy2021081000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-03-22,8075.0,-0.0536,0.9253,"(-0.0536,0.9253)",0.3427634,0.1739405,0.0302553,0.47595,0.8425,0.3489,-0.0536,0.20485
MOD13A2_061__1_km_16_days_NDVI_doy2021097000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-04-07,8082.0,-0.0863,0.858,"(-0.0863,0.858)",0.4979962,0.1875099,0.03516,0.646075,0.858,0.54645,-0.0652,0.360325
MOD13A2_061__1_km_16_days_NDVI_doy2021113000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-04-23,8152.0,-0.1308,0.899,"(-0.1308,0.899)",0.4273029,0.242825,0.058964,0.65855,0.899,0.43615,-0.1308,0.2023
MOD13A2_061__1_km_16_days_NDVI_doy2021129000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-05-09,8138.0,-0.1923,0.9855,"(-0.1923,0.9855)",0.5915022,0.2056716,0.0423008,0.7457,0.9855,0.65755,0.0702,0.4752
MOD13A2_061__1_km_16_days_NDVI_doy2021145000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-05-25,8135.0,-0.108,0.928,"(-0.108,0.928)",0.5116702,0.2544711,0.0647555,0.7351,0.928,0.5805,-0.108,0.29665
MOD13A2_061__1_km_16_days_NDVI_doy2021161000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-06-10,8079.0,-0.1817,0.9064,"(-0.1817,0.9064)",0.4099348,0.2421499,0.0586366,0.6276,0.9064,0.4221,-0.1817,0.18425
MOD13A2_061__1_km_16_days_NDVI_doy2021177000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-06-26,8109.0,-0.1781,0.9858,"(-0.1781,0.9858)",0.4475812,0.2587929,0.0669738,0.7019,0.9858,0.4415,-0.1781,0.2114
MOD13A2_061__1_km_16_days_NDVI_doy2021193000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-07-12,8100.0,-0.1176,0.8969,"(-0.1176,0.8969)",0.3441438,0.2447224,0.059889,0.577875,0.8969,0.28935,-0.1176,0.1184
MOD13A2_061__1_km_16_days_NDVI_doy2021209000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-07-28,8107.0,-0.1521,0.9892,"(-0.1521,0.9892)",0.3286607,0.2090797,0.0437143,0.4883,0.9892,0.2854,-0.1521,0.1542
MOD13A2_061__1_km_16_days_NDVI_doy2021225000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-08-13,8080.0,-0.1939,0.93,"(-0.1939,0.93)",0.3913371,0.2659315,0.0707195,0.64,0.93,0.3655,-0.1939,0.140975
MOD13A2_061__1_km_16_days_NDVI_doy2021241000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-08-29,8097.0,-0.1881,0.9842,"(-0.1881,0.9842)",0.4236865,0.2481619,0.0615843,0.639,0.9842,0.424,-0.1881,0.1999
MOD13A2_061__1_km_16_days_NDVI_doy2021257000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-09-14,8079.0,-0.1222,0.9109,"(-0.1222,0.9109)",0.2420875,0.2192638,0.0480766,0.35095,0.7843,0.1755,-0.1222,0.0618
MOD13A2_061__1_km_16_days_NDVI_doy2021273000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-09-30,8140.0,-0.1821,0.9985,"(-0.1821,0.9985)",0.4437575,0.2623809,0.0688438,0.692925,0.9985,0.43365,-0.1821,0.213675
MOD13A2_061__1_km_16_days_NDVI_doy2021289000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-10-16,8169.0,-0.1844,0.978,"(-0.1844,0.978)",0.4112283,0.2764566,0.0764283,0.6708,0.978,0.4118,-0.1844,0.136
MOD13A2_061__1_km_16_days_NDVI_doy2021305000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-11-01,8114.0,-0.1818,0.9146,"(-0.1818,0.9146)",0.3638429,0.2559143,0.0654921,0.602975,0.9146,0.3164,-0.1818,0.1259
MOD13A2_061__1_km_16_days_NDVI_doy2021321000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-11-17,8116.0,-0.1845,0.9894,"(-0.1845,0.9894)",0.5057082,0.2174035,0.0472643,0.6875,0.9894,0.5512,-0.1452,0.3534
MOD13A2_061__1_km_16_days_NDVI_doy2021337000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-12-03,8065.0,-0.1073,0.7754,"(-0.1073,0.7754)",0.4462554,0.1385206,0.019188,0.5485,0.7754,0.4655,0.0803,0.3612
MOD13A2_061__1_km_16_days_NDVI_doy2021353000000_aid0001,_1_km_16_days_NDVI,aid0001,2021-12-19,8152.0,-0.1378,0.984,"(-0.1378,0.984)",0.4472632,0.1306857,0.0170788,0.537725,0.7868,0.4726,0.1112,0.366275
MOD13A2_061__1_km_16_days_NDVI_doy2022001000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-01-01,8053.0,-0.1843,0.8302,"(-0.1843,0.8302)",0.4333514,0.1364204,0.0186105,0.5278,0.7771,0.4634,0.1104,0.3607
MOD13A2_061__1_km_16_days_NDVI_doy2022017000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-01-17,8154.0,-0.1356,0.9772,"(-0.1356,0.9772)",0.3694881,0.1239909,0.0153737,0.451675,0.6883,0.3881,0.0572,0.293625
MOD13A2_061__1_km_16_days_NDVI_doy2022033000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-02-02,8068.0,-0.0813,0.7256,"(-0.0813,0.7256)",0.2825388,0.1242336,0.015434,0.3595,0.6152,0.27755,-0.0597,0.1888
MOD13A2_061__1_km_16_days_NDVI_doy2022049000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-02-18,8134.0,-0.1259,0.9891,"(-0.1259,0.9891)",0.3115474,0.1571943,0.0247101,0.424775,0.7644,0.3144,-0.1259,0.1974
MOD13A2_061__1_km_16_days_NDVI_doy2022065000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-03-06,8112.0,-0.1006,0.875,"(-0.1006,0.875)",0.2206565,0.1680426,0.0282383,0.3125,0.6374,0.1585,-0.1006,0.0957
MOD13A2_061__1_km_16_days_NDVI_doy2022081000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-03-22,8144.0,-0.1888,0.9825,"(-0.1888,0.9825)",0.3790489,0.1913924,0.0366311,0.5251,0.9825,0.4108,-0.1888,0.215875
MOD13A2_061__1_km_16_days_NDVI_doy2022097000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-04-07,8085.0,-0.1251,0.9279,"(-0.1251,0.9279)",0.4854559,0.2239905,0.0501718,0.6749,0.9279,0.5277,-0.1251,0.3083
MOD13A2_061__1_km_16_days_NDVI_doy2022113000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-04-23,8112.0,-0.1119,0.9339,"(-0.1119,0.9339)",0.3000059,0.2201419,0.0484624,0.443325,0.9145,0.2334,-0.1119,0.118075
MOD13A2_061__1_km_16_days_NDVI_doy2022129000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-05-09,8108.0,-0.1696,0.9021,"(-0.1696,0.9021)",0.5397026,0.2233486,0.0498846,0.725425,0.9021,0.6071,-0.1433,0.3748
MOD13A2_061__1_km_16_days_NDVI_doy2022145000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-05-25,8093.0,-0.1152,0.9658,"(-0.1152,0.9658)",0.4153871,0.2453838,0.0602132,0.6323,0.9658,0.4064,-0.1152,0.1891
