File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A2_061__1_km_16_days_NDVI_doy2022161000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-06-10,8077.0,-0.1533,0.9837,"(-0.1533,0.9837)",0.4233595,0.246287,0.0606573,0.6439,0.9837,0.4331,-0.1533,0.201
MOD13A2_061__1_km_16_days_NDVI_doy2022177000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-06-26,8103.0,-0.0461,0.9882,"(-0.0461,0.9882)",0.1742977,0.2142573,0.0459062,0.2529,0.5995,0.0714,-0.0461,0.0218
MOD13A2_061__1_km_16_days_NDVI_doy2022193000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-07-12,8117.0,-0.1514,0.995,"(-0.1514,0.995)",0.3768947,0.2591229,0.0671447,0.5926,0.995,0.3492,-0.1514,0.1452
MOD13A2_061__1_km_16_days_NDVI_doy2022209000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-07-28,8162.0,-0.1611,0.9622,"(-0.1611,0.9622)",0.412803,0.2403233,0.0577553,0.5931,0.9622,0.3879,-0.1611,0.219275
MOD13A2_061__1_km_16_days_NDVI_doy2022225000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-08-13,8131.0,-0.0637,0.9442,"(-0.0637,0.9442)",0.2620799,0.19036,0.0362369,0.35585,0.7123,0.1998,-0.0637,0.11755
MOD13A2_061__1_km_16_days_NDVI_doy2022241000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-08-29,8100.0,-0.1989,0.9501,"(-0.1989,0.9501)",0.3515921,0.2385531,0.0569076,0.543475,0.9501,0.31295,-0.1989,0.1387
MOD13A2_061__1_km_16_days_NDVI_doy2022257000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-09-14,8088.0,-0.0957,0.9364,"(-0.0957,0.9364)",0.260053,0.2655629,0.0705237,0.434125,0.9364,0.13405,-0.0957,0.0489
MOD13A2_061__1_km_16_days_NDVI_doy2022273000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-09-30,8152.0,-0.1044,0.9877,"(-0.1044,0.9877)",0.2405601,0.2073741,0.043004,0.348425,0.7474,0.1681,-0.1044,0.0823
MOD13A2_061__1_km_16_days_NDVI_doy2022289000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-10-16,7961.0,-0.1648,0.9202,"(-0.1648,0.9202)",0.2523692,0.2121643,0.0450137,0.3698,0.7946,0.1841,-0.1648,0.0864
MOD13A2_061__1_km_16_days_NDVI_doy2022305000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-11-01,8080.0,-0.1518,0.911,"(-0.1518,0.911)",0.36649,0.2465839,0.0608036,0.5688,0.911,0.3226,-0.1518,0.1476
MOD13A2_061__1_km_16_days_NDVI_doy2022321000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-11-17,8070.0,-0.1907,0.9757,"(-0.1907,0.9757)",0.5881864,0.2039614,0.0416003,0.743275,0.9757,0.6618,0.0601,0.46985
MOD13A2_061__1_km_16_days_NDVI_doy2022337000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-12-03,8121.0,-0.1738,0.9917,"(-0.1738,0.9917)",0.4437062,0.2208195,0.0487613,0.6289,0.9917,0.4697,-0.1738,0.2609
MOD13A2_061__1_km_16_days_NDVI_doy2022353000000_aid0001,_1_km_16_days_NDVI,aid0001,2022-12-19,8086.0,-0.1368,0.8608,"(-0.1368,0.8608)",0.530554,0.1380255,0.019051,0.628,0.8608,0.56555,0.2136,0.4622
MOD13A2_061__1_km_16_days_NDVI_doy2023001000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-01-01,8095.0,-0.0994,0.6909,"(-0.0994,0.6909)",0.4395467,0.1257284,0.0158076,0.5339,0.6909,0.4584,0.1054,0.3624
MOD13A2_061__1_km_16_days_NDVI_doy2023017000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-01-17,8094.0,-0.1377,0.8846,"(-0.1377,0.8846)",0.5400673,0.1560894,0.0243639,0.6461,0.8846,0.5684,0.1948,0.4652
MOD13A2_061__1_km_16_days_NDVI_doy2023033000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-02-02,8156.0,-0.1597,0.968,"(-0.1597,0.968)",0.3641237,0.1327317,0.0176177,0.435925,0.6724,0.35885,0.0415,0.27815
MOD13A2_061__1_km_16_days_NDVI_doy2023049000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-02-18,8083.0,-0.0284,0.9683,"(-0.0284,0.9683)",0.2597,0.1576891,0.0248658,0.2847,0.4573,0.2196,-0.003,0.1692
MOD13A2_061__1_km_16_days_NDVI_doy2023065000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-03-06,8077.0,-0.0932,0.9637,"(-0.0932,0.9637)",0.5227845,0.1886483,0.0355882,0.669,0.9637,0.5635,-0.0134,0.3947
MOD13A2_061__1_km_16_days_NDVI_doy2023081000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-03-22,8104.0,-0.1639,0.9895,"(-0.1639,0.9895)",0.4952482,0.215805,0.0465718,0.676725,0.9895,0.5299,-0.1639,0.320425
MOD13A2_061__1_km_16_days_NDVI_doy2023097000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-04-07,8100.0,-0.1869,0.923,"(-0.1869,0.923)",0.5551766,0.1894161,0.0358785,0.7025,0.923,0.6285,0.0178,0.4285
MOD13A2_061__1_km_16_days_NDVI_doy2023113000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-04-23,8120.0,-0.1094,0.9818,"(-0.1094,0.9818)",0.5108156,0.2180651,0.0475524,0.7006,0.9818,0.5297,-0.1094,0.3453
MOD13A2_061__1_km_16_days_NDVI_doy2023129000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-05-09,8092.0,-0.1569,0.9239,"(-0.1569,0.9239)",0.4818091,0.2289839,0.0524336,0.6835,0.9239,0.5004,-0.1569,0.297975
MOD13A2_061__1_km_16_days_NDVI_doy2023145000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-05-25,8121.0,-0.0571,0.9028,"(-0.0571,0.9028)",0.3878356,0.2140082,0.0457995,0.5496,0.9028,0.3759,-0.0571,0.2096
MOD13A2_061__1_km_16_days_NDVI_doy2023161000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-06-10,8136.0,-0.1762,0.9751,"(-0.1762,0.9751)",0.4826644,0.2424298,0.0587722,0.6902,0.9751,0.4934,-0.1762,0.285875
MOD13A2_061__1_km_16_days_NDVI_doy2023177000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-06-26,8084.0,-0.1805,0.9462,"(-0.1805,0.9462)",0.5485299,0.2243483,0.0503322,0.734825,0.9462,0.59625,-0.1001,0.3996
MOD13A2_061__1_km_16_days_NDVI_doy2023193000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-07-12,8113.0,-0.1358,0.9236,"(-0.1358,0.9236)",0.2006061,0.2145393,0.0460271,0.2795,0.6277,0.112,-0.1358,0.0472
MOD13A2_061__1_km_16_days_NDVI_doy2023209000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-07-28,8063.0,-0.1867,0.9577,"(-0.1867,0.9577)",0.4686592,0.1963966,0.0385716,0.62185,0.9577,0.5054,-0.1173,0.3246
MOD13A2_061__1_km_16_days_NDVI_doy2023225000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-08-13,8081.0,-0.1611,0.9228,"(-0.1611,0.9228)",0.3869165,0.2254199,0.0508141,0.5477,0.9228,0.3644,-0.1611,0.2015
MOD13A2_061__1_km_16_days_NDVI_doy2023241000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-08-29,8076.0,-0.1717,0.941,"(-0.1717,0.941)",0.2196438,0.2283299,0.0521346,0.315975,0.7058,0.1159,-0.1717,0.0558
MOD13A2_061__1_km_16_days_NDVI_doy2023257000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-09-14,8152.0,-0.196,0.9392,"(-0.196,0.9392)",0.3005313,0.1934555,0.037425,0.41215,0.8072,0.26155,-0.196,0.148675
MOD13A2_061__1_km_16_days_NDVI_doy2023273000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-09-30,8088.0,-0.1968,0.9523,"(-0.1968,0.9523)",0.5236945,0.2386646,0.0569608,0.727125,0.9523,0.5646,-0.1968,0.3448
MOD13A2_061__1_km_16_days_NDVI_doy2023289000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-10-16,8092.0,-0.1548,0.9302,"(-0.1548,0.9302)",0.4351588,0.260595,0.0679098,0.67175,0.9302,0.417,-0.1548,0.2062
MOD13A2_061__1_km_16_days_NDVI_doy2023305000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-11-01,8120.0,-0.1916,0.9933,"(-0.1916,0.9933)",0.5577667,0.2501521,0.0625761,0.7704,0.9933,0.62275,-0.1916,0.385575
MOD13A2_061__1_km_16_days_NDVI_doy2023321000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-11-17,8106.0,-0.1153,0.8954,"(-0.1153,0.8954)",0.5500209,0.2388596,0.0570539,0.751975,0.8954,0.63055,-0.1153,0.3821
MOD13A2_061__1_km_16_days_NDVI_doy2023337000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-12-03,8090.0,-0.1265,0.863,"(-0.1265,0.863)",0.5062823,0.1401516,0.0196425,0.610075,0.863,0.53885,0.1707,0.4341
MOD13A2_061__1_km_16_days_NDVI_doy2023353000000_aid0001,_1_km_16_days_NDVI,aid0001,2023-12-19,8096.0,-0.1308,0.8216,"(-0.1308,0.8216)",0.486341,0.1444663,0.0208705,0.594,0.8216,0.5178,0.0963,0.394725
MOD13A2_061__1_km_16_days_NDVI_doy2024001000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-01-01,8114.0,-0.147,0.9116,"(-0.147,0.9116)",0.4304119,0.1621125,0.0262804,0.553975,0.8559,0.44475,-0.0331,0.3191
MOD13A2_061__1_km_16_days_NDVI_doy2024017000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-01-17,8094.0,-0.1159,0.8796,"(-0.1159,0.8796)",0.4133702,0.1256575,0.0157898,0.5068,0.7554,0.42255,0.0767,0.334525
MOD13A2_061__1_km_16_days_NDVI_doy2024033000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-02-02,8080.0,-0.0917,0.7622,"(-0.0917,0.7622)",0.3227231,0.0977557,0.0095562,0.3936,0.5951,0.3239,0.0575,0.2591
MOD13A2_061__1_km_16_days_NDVI_doy2024049000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-02-18,8158.0,-0.0421,0.6865,"(-0.0421,0.6865)",0.2347348,0.1222243,0.0149388,0.3174,0.5855,0.2129,-0.0421,0.1375
MOD13A2_061__1_km_16_days_NDVI_doy2024065000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-03-05,8056.0,-0.0691,0.8611,"(-0.0691,0.8611)",0.5635452,0.1781435,0.0317351,0.692,0.8611,0.616,0.1349,0.4691
MOD13A2_061__1_km_16_days_NDVI_doy2024081000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-03-21,8100.0,-0.0776,0.8717,"(-0.0776,0.8717)",0.4167939,0.1709502,0.029224,0.5428,0.8717,0.4315,-0.038,0.2961
MOD13A2_061__1_km_16_days_NDVI_doy2024097000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-04-06,8104.0,-0.1571,0.8787,"(-0.1571,0.8787)",0.5959991,0.1768448,0.0312741,0.726425,0.8787,0.654,0.1487,0.495225
MOD13A2_061__1_km_16_days_NDVI_doy2024113000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-04-22,8081.0,-0.1214,0.8967,"(-0.1214,0.8967)",0.3619012,0.1856253,0.0344568,0.4828,0.8821,0.3603,-0.1214,0.2161
MOD13A2_061__1_km_16_days_NDVI_doy2024129000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-05-08,8105.0,-0.0553,0.9839,"(-0.0553,0.9839)",0.456152,0.2498761,0.0624381,0.6905,0.9839,0.4908,-0.0553,0.2134
MOD13A2_061__1_km_16_days_NDVI_doy2024145000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-05-24,8082.0,-0.1556,0.8798,"(-0.1556,0.8798)",0.5281731,0.2219724,0.0492717,0.7157,0.8798,0.6022,-0.142,0.3684
MOD13A2_061__1_km_16_days_NDVI_doy2024161000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-06-09,8065.0,-0.1471,0.9451,"(-0.1471,0.9451)",0.3789486,0.2306396,0.0531946,0.5392,0.9451,0.3336,-0.1471,0.1961
MOD13A2_061__1_km_16_days_NDVI_doy2024177000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-06-25,8124.0,-0.0239,0.943,"(-0.0239,0.943)",0.3374838,0.1982077,0.0392863,0.435475,0.8144,0.31175,-0.0239,0.182775
MOD13A2_061__1_km_16_days_NDVI_doy2024193000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-07-11,8089.0,-0.1451,0.9456,"(-0.1451,0.9456)",0.3170596,0.2763875,0.07639,0.566,0.9456,0.2295,-0.1451,0.0594
MOD13A2_061__1_km_16_days_NDVI_doy2024209000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-07-27,8112.0,-0.1467,0.941,"(-0.1467,0.941)",0.3148084,0.225904,0.0510326,0.479925,0.941,0.25695,-0.1467,0.1159
MOD13A2_061__1_km_16_days_NDVI_doy2024225000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-08-12,8066.0,-0.1079,0.907,"(-0.1079,0.907)",0.2636531,0.2047109,0.0419065,0.40015,0.8513,0.18325,-0.1079,0.096925
MOD13A2_061__1_km_16_days_NDVI_doy2024241000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-08-28,8106.0,-0.0829,0.9425,"(-0.0829,0.9425)",0.3470894,0.2415625,0.0583525,0.5387,0.9425,0.30015,-0.0829,0.128525
MOD13A2_061__1_km_16_days_NDVI_doy2024257000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-09-13,8148.0,-0.0993,0.9613,"(-0.0993,0.9613)",0.2221853,0.1849313,0.0341996,0.2918,0.5935,0.1604,-0.0993,0.0905
MOD13A2_061__1_km_16_days_NDVI_doy2024273000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-09-29,8104.0,-0.1992,0.9741,"(-0.1992,0.9741)",0.2867596,0.2233136,0.049869,0.42395,0.8942,0.2121,-0.1992,0.110075
MOD13A2_061__1_km_16_days_NDVI_doy2024289000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-10-15,8076.0,-0.197,0.987,"(-0.197,0.987)",0.3951071,0.2250046,0.0506271,0.559,0.987,0.37445,-0.197,0.2058
MOD13A2_061__1_km_16_days_NDVI_doy2024305000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-10-31,8096.0,-0.1745,0.9982,"(-0.1745,0.9982)",0.5435428,0.2476976,0.0613541,0.76555,0.9982,0.58405,-0.1745,0.35475
MOD13A2_061__1_km_16_days_NDVI_doy2024321000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-11-16,8078.0,-0.188,0.9917,"(-0.188,0.9917)",0.6330156,0.142765,0.0203818,0.7248,0.9202,0.6691,0.3954,0.592925
MOD13A2_061__1_km_16_days_NDVI_doy2024337000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-12-02,8092.0,-0.1503,0.9908,"(-0.1503,0.9908)",0.5542068,0.1511105,0.0228344,0.6544,0.8981,0.5852,0.2408,0.4886
MOD13A2_061__1_km_16_days_NDVI_doy2024353000000_aid0001,_1_km_16_days_NDVI,aid0001,2024-12-18,8104.0,-0.0721,0.9405,"(-0.0721,0.9405)",0.4676809,0.1418282,0.0201152,0.575525,0.7994,0.49755,0.0618,0.3694
